"Date","Price","Open","High","Low","Vol.","Change %"
"24-02-2015","35,974","36,314","36,546","35,760","30.17K","-0.62%"
"23-02-2015","36,199","36,262","36,771","35,791","30.53K","-0.18%"
"21-02-2015","36,265","36,265","36,265","36,265","","-0.13%"
"20-02-2015","36,314","36,500","36,760","36,227","23.66K","-0.29%"
"19-02-2015","36,420","36,712","37,135","36,320","27.78K","0.39%"
"18-02-2015","36,278","36,513","36,780","36,170","24.44K","-0.26%"
"17-02-2015","36,374","37,817","37,817","36,201","25.39K","-4.60%"
"16-02-2015","38,128","38,101","38,474","38,034","10.59K","-0.20%"
"13-02-2015","38,204","37,500","38,377","37,333","26.16K","2.63%"
"12-02-2015","37,225","37,250","37,781","37,050","23.88K","-0.46%"
"11-02-2015","37,397","37,656","37,836","37,251","18.85K","-0.54%"
"10-02-2015","37,599","37,661","37,950","37,179","22.06K","-0.53%"
"09-02-2015","37,798","37,175","37,964","37,072","20.61K","2.09%"
"06-02-2015","37,024","38,011","38,250","36,731","30.94K","-2.21%"
"05-02-2015","37,859","38,485","38,649","37,410","31.10K","-1.33%"
"04-02-2015","38,371","38,390","38,840","37,970","23.90K","0.74%"
"03-02-2015","38,091","37,792","39,000","37,703","31.97K","0.23%"
"02-02-2015","38,005","38,118","38,276","37,642","18.73K","-0.26%"
